Noise_Std,Model,R2 Score,MAE (ug/m^3)
0.05,Model A (Full 5-Block: DAE+CNN+BiLSTM+Residual+Attn),0.8649476170539856,22.432514190673828
0.05,Model B (No DAE - BiLSTM+Residual+Attn),0.8515253067016602,22.809770584106445
0.08,Model A (Full 5-Block: DAE+CNN+BiLSTM+Residual+Attn),0.8562153577804565,23.352842330932617
0.08,Model B (No DAE - BiLSTM+Residual+Attn),0.8364995718002319,24.090234756469727
0.1,Model A (Full 5-Block: DAE+CNN+BiLSTM+Residual+Attn),0.8483534455299377,24.06678581237793
0.1,Model B (No DAE - BiLSTM+Residual+Attn),0.8224098682403564,25.244121551513672
0.12,Model A (Full 5-Block: DAE+CNN+BiLSTM+Residual+Attn),0.8388403058052063,24.905330657958984
0.12,Model B (No DAE - BiLSTM+Residual+Attn),0.8045833110809326,26.69426727294922
0.15,Model A (Full 5-Block: DAE+CNN+BiLSTM+Residual+Attn),0.8208357095718384,26.428361892700195
0.15,Model B (No DAE - BiLSTM+Residual+Attn),0.7690324783325195,29.430316925048828
0.18,Model A (Full 5-Block: DAE+CNN+BiLSTM+Residual+Attn),0.7982393503189087,28.156118392944336
0.18,Model B (No DAE - BiLSTM+Residual+Attn),0.7216994762420654,32.92115783691406
0.2,Model A (Full 5-Block: DAE+CNN+BiLSTM+Residual+Attn),0.7811253070831299,29.41351318359375
0.2,Model B (No DAE - BiLSTM+Residual+Attn),0.6829614639282227,35.700016021728516
